Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Jordin Canada,SEA,G,30,865,30,29,28.8,3.7,9.6,.388,0.3,1.4,.186,3.5,8.2,.423,2.1,2.7,.768,0.4,2.4,5.2,2.3,0.2,2.6,1.6,9.8
Essence Carson,PHO,G,23,425,23,13,18.5,2.0,5.6,.352,0.6,1.8,.341,1.3,3.8,.356,1.3,1.6,.784,0.5,2.2,1.5,0.5,0.3,0.7,1.0,5.8
Arica Carter,PHO,G,6,24,6,0,4.0,0.2,0.8,.200,0.0,0.7,.000,0.2,0.2,1.000,0.0,0.0,,0.0,0.0,0.2,0.2,0.0,0.3,0.8,0.3
Maite Cazorla,ATL,G,31,477,31,1,15.4,0.9,3.0,.312,0.4,1.8,.236,0.5,1.2,.421,0.7,0.8,.875,0.1,0.7,1.6,0.6,0.0,0.9,0.7,3.0
Tina Charles,NYL,C,33,1028,33,33,31.2,6.7,17.2,.389,0.3,1.8,.186,6.3,15.4,.412,3.3,4.0,.812,2.0,7.5,2.4,0.7,0.9,2.6,2.8,16.9
Karima Christmas-Kelly,MIN,F-G,6,72,6,0,12.0,0.8,3.0,.278,0.5,1.8,.273,0.3,1.2,.286,0.5,0.8,.600,0.2,0.8,1.0,0.8,0.2,0.7,1.3,2.7
Layshia Clarendon,CON,G,9,138,9,0,15.3,2.0,4.8,.419,0.2,0.2,1.000,1.8,4.6,.390,2.0,2.3,.857,0.8,2.4,2.1,0.3,0.0,0.9,0.8,6.2
Alysha Clark,SEA,F,31,881,31,30,28.4,3.7,7.6,.481,1.6,3.4,.481,2.0,4.2,.481,0.6,0.7,.818,1.2,4.7,2.5,1.1,0.5,1.5,1.9,9.6
Natasha Cloud,WAS,G,34,1093,34,34,32.1,3.2,8.2,.394,1.3,4.1,.326,1.9,4.1,.461,1.2,1.8,.683,0.2,2.5,5.6,1.0,0.2,1.9,2.0,9.0
Nia Coffey,ATL,F,28,389,28,6,13.9,1.7,5.0,.338,0.8,2.1,.379,0.9,2.9,.309,0.8,1.5,.548,0.8,2.8,0.4,0.5,0.5,0.8,1.9,5.0
